Longitude,Latitude
41.6448610,-0.8856629
41.6448535,-0.8856032
41.6448499,-0.8855690
41.6448330,-0.8854580
41.6448067,-0.8852129
41.6447761,-0.8848381
41.6447488,-0.8844938
41.6447470,-0.8844207
41.6447528,-0.8843758
41.6447661,-0.8843023
41.6448039,-0.8841545
41.6448474,-0.8840469
41.6449028,-0.8839511
41.6452239,-0.8833691
41.6452688,-0.8832874
41.6453094,-0.8832104
41.6455989,-0.8826844
41.6456408,-0.8826059
41.6456906,-0.8825088
41.6459748,-0.8819741
41.6460114,-0.8819036
41.6460579,-0.8818226
41.6463509,-0.8812800
41.6465060,-0.8809871
41.6465495,-0.8809277
41.6470887,-0.8804066
41.6471134,-0.8803658
41.6471271,-0.8803292
41.6471355,-0.8802776
