itemName,speed,description
taxi 0,11.121429586783051,description 1
taxi 1,38.81481689400971,description 1
taxi 2,34.95293069630861,description 1
taxi 3,37.87929515354335,description 1
taxi 4,36.36080746538937,description 1
taxi 6,38.57770735397935,description 1
taxi 5,19.504200918599963,description 1
taxi 7,44.82285575941205,description 1
taxi 8,22.9189476929605,description 1
taxi 9,25.724096577614546,description 1
taxi 10,27.04517506994307,description 1
taxi 11,29.902988970279694,description 1
taxi 12,13.832035390660167,description 1
taxi 13,37.87990985438228,description 1
taxi 14,42.941173017024994,description 1
taxi 15,19.163984591141343,description 1
taxi 16,33.67045275866985,description 1
taxi 17,37.86145984195173,description 1
taxi 18,17.0769711304456,description 1
taxi 19,19.045778596773744,description 1
taxi 38,49.783091843128204,description 1
taxi 39,20.34720666706562,description 1
taxi 41,39.15648573078215,description 1
taxi 40,16.36645697057247,description 1
taxi 42,12.405786206945777,description 1
taxi 43,26.172892563045025,description 1
taxi 45,46.665051029995084,description 1
taxi 44,46.815699469298124,description 1
taxi 46,43.27993745915592,description 1
taxi 47,18.218088503926992,description 1
taxi 48,26.95699783973396,description 1
taxi 49,26.237200666218996,description 1
taxi 50,28.80851817317307,description 1
taxi 51,33.52324178442359,description 1
taxi 52,17.657807366922498,description 1
taxi 53,22.760860910639167,description 1
taxi 54,24.219491742551327,description 1
taxi 55,24.13188010454178,description 1
taxi 56,13.819109071046114,description 1
taxi 57,23.117635482922196,description 1
taxi 58,18.075406281277537,description 1
